Topic 0
Topic coherence: -297.927108147
AVG: -1.5680374113
SD:  0.633567675076
common make  0.0047039453364     -1.54463791921/-328.370720479
make pct  0.00470130663626     -1.54377144734/-328.370720479
make share  0.00469073889692     -1.54030131116/-328.370720479
offer share  0.00467241182952     -1.53428323883/-328.370720479
hold offer  0.00465948705035     -1.53003911979/-328.370720479
corp stock  0.00464443590396     -1.525096764/-328.370720479
company group  0.00463675575024     -1.52257482639/-328.370720479
common tender  0.00462366901635     -1.51827752616/-328.370720479
common hold  0.00460601604603     -1.51248080757/-328.370720479
make oil  0.00452516942584     -1.48593314465/-328.370720479
bid buy  0.00449974887887     -1.47758578133/-328.370720479
company make  0.00449125012102     -1.47479503809/-328.370720479
buy group  0.00444888391992     -1.46088321811/-328.370720479
group share  0.00442678121148     -1.45362533582/-328.370720479
hold tender  0.00441959871988     -1.45126681587/-328.370720479
price stock  0.00441189340007     -1.44873661446/-328.370720479
buy make  0.00439395610096     -1.44284653062/-328.370720479
group price  0.00438797511941     -1.4408825514/-328.370720479
price stake  0.00438512627591     -1.43994707461/-328.370720479
bid hold  0.00432568216015     -1.42042736749/-328.370720479
corp pct  0.0043180541457     -1.41792255089/-328.370720479
buy stock  0.00429982548284     -1.41193679173/-328.370720479
pct stock  0.00425989823755     -1.39882585343/-328.370720479
bid offer  0.00422173560145     -1.38629436112/-328.370720479
outstanding stake  0.00422173560145     -1.38629436112/-328.370720479
buy offer  0.00419635763369     -1.37796097956/-328.370720479
common share  0.00415805861248     -1.36538470237/-328.370720479
lt pct  0.00412348239059     -1.35403088348/-328.370720479
make stake  0.00411017226497     -1.34966022794/-328.370720479
corp group  0.00404608318183     -1.32861524953/-328.370720479
group make  0.00401925183197     -1.31980461985/-328.370720479
bid tender  0.0039988841742     -1.31311647739/-328.370720479
company stock  0.00399822001253     -1.31289838615/-328.370720479
group stock  0.0039838405201     -1.30817658186/-328.370720479
make price  0.00398081582171     -1.30718335947/-328.370720479
pct price  0.00397418836951     -1.30500709821/-328.370720479
group offer  0.00395357266883     -1.29823750573/-328.370720479
hold make  0.00376867142942     -1.23752135253/-328.370720479
oil price  0.00374492981176     -1.22972530043/-328.370720479
offer tender  0.0036643818168     -1.20327569729/-328.370720479
stock tender  0.00365112976004     -1.19892410987/-328.370720479
buy tender  0.00360762418431     -1.18463815262/-328.370720479
make tender  0.00360762418431     -1.18463815262/-328.370720479
offer price  0.00359099661503     -1.17917814571/-328.370720479
buy common  0.00354303753711     -1.16342978874/-328.370720479
bid stock  0.00349218570809     -1.14673153701/-328.370720479
common stake  0.00346145260028     -1.13663968426/-328.370720479
offer stock  0.00343945597375     -1.12941663615/-328.370720479
hold stake  0.00340879413827     -1.11934818715/-328.370720479
corp dlrs  0.00340431103595     -1.11787606761/-328.370720479
corp offer  0.00323000642727     -1.06063953767/-328.370720479
common outstanding  0.00313638924511     -1.02989839612/-328.370720479
company pct  0.00303666240414     -0.997151021497/-328.370720479
company dlrs  0.00302471524433     -0.993227924022/-328.370720479
corp lt  0.00301366855052     -0.989600513218/-328.370720479
corp share  0.00296123949013     -0.972384344883/-328.370720479
company corp  0.00290357652454     -0.953449515327/-328.370720479
make offer  0.00289904431072     -0.951961269011/-328.370720479
company lt  0.00289194463959     -0.949629944888/-328.370720479
share stock  0.00282873872319     -0.928874972581/-328.370720479
stake stock  0.0027118940855     -0.890506614718/-328.370720479
mln price  0.00270767389134     -0.889120826522/-328.370720479
mln offer  0.00263819448692     -0.866305824432/-328.370720479
dlrs pct  0.00261271646603     -0.857939588357/-328.370720479
bid make  0.00254194537909     -0.83470043555/-328.370720479
buy stake  0.00253705843898     -0.833095707505/-328.370720479
corp stake  0.00252401628411     -0.828813045713/-328.370720479
mln pct  0.00246009061456     -0.807821727546/-328.370720479
pct share  0.00224922450111     -0.738579469948/-328.370720479
company offer  0.00218176777253     -0.716428655383/-328.370720479
dlrs lt  0.00216503783017     -0.710935032158/-328.370720479
group mln  0.00213955251995     -0.702566402476/-328.370720479
dlrs offer  0.00205406191205     -0.674493789969/-328.370720479
mln stake  0.00199930446424     -0.65651304738/-328.370720479
